match,x,y,time_s,lifetime_s,ward_type,side
8605115782,46.5,66.0,318.0,295.0,obs,dire
8605115782,5.900000000000006,99.80000000000001,654.0,101.0,obs,dire
8605115782,56.2,65.6,378.0,6.0,sen,dire
8605115782,25.5,98.69999999999999,581.0,420.0,sen,dire
8605115782,24.200000000000003,66.6,719.0,134.0,sen,dire
8605115782,88.4,32.2,302.0,360.0,obs,dire
8605115782,92.9,59.2,448.0,360.0,obs,dire
8605115782,66.6,31.900000000000006,548.0,52.0,obs,dire
8605115782,107.80000000000001,26.200000000000003,505.0,32.0,sen,dire
8605115782,86.9,58.599999999999994,690.0,420.0,sen,dire
8527923420,43.900000000000006,80.80000000000001,353.0,111.0,obs,dire
8527923420,23.799999999999997,68.1,487.0,334.0,obs,dire
8527923420,48.099999999999994,81.5,354.0,109.0,sen,dire
8527923420,104.0,34.8,525.0,420.0,sen,dire
8527923420,89.1,57.3,580.0,421.0,sen,dire
8527923420,107.9,24.299999999999997,705.0,69.0,sen,dire
8527923420,91.69999999999999,13.099999999999994,560.0,67.0,obs,dire
8527923420,92.30000000000001,58.400000000000006,368.0,140.0,obs,dire
8527923420,82.30000000000001,68.9,520.0,420.0,sen,dire
8527923420,60.5,75.19999999999999,699.0,420.0,sen,dire
8609085945,79.30000000000001,26.799999999999997,496.0,360.0,obs,dire
8609085945,68.9,39.0,531.0,420.0,sen,dire
8609085945,55.5,89.0,699.0,420.0,sen,dire
8609085945,92.69999999999999,58.3,375.0,360.0,obs,dire
8609085945,75.69999999999999,73.9,390.0,420.0,sen,dire
8609085945,72.0,92.0,529.0,420.0,sen,dire
8609085945,13.299999999999997,89.5,434.0,360.0,obs,dire
8609085945,43.7,105.80000000000001,580.0,88.0,obs,dire
8609085945,48.099999999999994,116.80000000000001,498.0,420.0,sen,dire
8609085945,44.2,98.80000000000001,538.0,132.0,sen,dire
8511503985,48.8,75.0,360.0,118.0,obs,dire
8511503985,56.3,69.0,358.0,420.0,sen,dire
8511503985,35.099999999999994,70.9,509.0,15.0,sen,dire
8511503985,92.30000000000001,59.400000000000006,319.0,360.0,obs,dire
8511503985,71.6,87.19999999999999,454.0,420.0,sen,dire
